Plot,Comparison,Model,Dataset,Δp (pp),95% CI Lower,95% CI Upper,Confidence Interval,Significant
(a) Scale,"same LAION-2B data, increasing capacity",ViT-B-16 (86M),COCO†,-0.05,-0.3,0.2,"[-0.30, 0.20]",False
(a) Scale,"same LAION-2B data, increasing capacity",ViT-B-16 (86M),CUB200,-0.67,-1.31,-0.02,"[-1.31, -0.02]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-B-16 (86M),EuroSAT,1.83,1.21,2.44,"[1.21, 2.44]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-B-16 (86M),Fish,7.24,6.43,8.12,"[6.43, 8.12]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-B-16 (86M),Flwrs102,2.7,2.1,3.32,"[2.10, 3.32]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-B-16 (86M),ImgNet,0.05,-0.15,0.24,"[-0.15, 0.24]",False
(a) Scale,"same LAION-2B data, increasing capacity",ViT-B-16 (86M),Marine,1.21,0.79,1.63,"[0.79, 1.63]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-B-16 (86M),OxPets,0.71,0.0,1.47,"[0.00, 1.47]",False
(a) Scale,"same LAION-2B data, increasing capacity",ViT-B-16 (86M),UCM,-0.62,-2.48,1.33,"[-2.48, 1.33]",False
(a) Scale,"same LAION-2B data, increasing capacity",ViT-H-14 (632M),COCO†,-0.65,-0.96,-0.35,"[-0.96, -0.35]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-H-14 (632M),CUB200,-0.19,-0.71,0.36,"[-0.71, 0.36]",False
(a) Scale,"same LAION-2B data, increasing capacity",ViT-H-14 (632M),EuroSAT,10.15,9.5,10.75,"[9.50, 10.75]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-H-14 (632M),Fish,9.7,8.8,10.6,"[8.80, 10.60]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-H-14 (632M),Flwrs102,0.7,0.08,1.3,"[0.08, 1.30]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-H-14 (632M),ImgNet,0.36,0.16,0.55,"[0.16, 0.55]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-H-14 (632M),Marine,1.52,1.17,1.9,"[1.17, 1.90]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-H-14 (632M),OxPets,2.48,1.77,3.19,"[1.77, 3.19]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-H-14 (632M),UCM,0.9,-0.76,2.57,"[-0.76, 2.57]",False
(a) Scale,"same LAION-2B data, increasing capacity",ViT-L-14 (307M),COCO†,-0.76,-1.11,-0.4,"[-1.11, -0.40]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-L-14 (307M),CUB200,-0.24,-0.86,0.41,"[-0.86, 0.41]",False
(a) Scale,"same LAION-2B data, increasing capacity",ViT-L-14 (307M),EuroSAT,11.47,10.94,12.01,"[10.94, 12.01]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-L-14 (307M),Fish,2.44,1.71,3.18,"[1.71, 3.18]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-L-14 (307M),Flwrs102,1.11,0.62,1.63,"[0.62, 1.63]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-L-14 (307M),ImgNet,-0.07,-0.26,0.11,"[-0.26, 0.11]",False
(a) Scale,"same LAION-2B data, increasing capacity",ViT-L-14 (307M),Marine,1.57,1.23,1.93,"[1.23, 1.93]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-L-14 (307M),OxPets,2.15,1.5,2.86,"[1.50, 2.86]",True
(a) Scale,"same LAION-2B data, increasing capacity",ViT-L-14 (307M),UCM,4.95,3.1,6.86,"[3.10, 6.86]",True
(b) Architecture,"same LAION-2B data, ∴88M params",ConvNeXt-B (modern CNN),COCO†,-0.08,-0.28,0.1,"[-0.28, 0.10]",False
(b) Architecture,"same LAION-2B data, ∴88M params",ConvNeXt-B (modern CNN),CUB200,-0.66,-1.26,-0.03,"[-1.26, -0.03]",True
